"campaign_id";"campaign_name";"campaign_description"
"C0028";"2015 Ukraine Electric Power Attack";"2015 Ukraine Electric Power Attackwas aSandworm Teamcampaign during which they usedBlackEnergy(specifically BlackEnergy3) andKillDiskto target and disrupt transmission and distribution substations within the Ukrainian power grid. This campaign was the first major public attack conducted against the Ukrainian power grid by Sandworm Team."
"C0025";"2016 Ukraine Electric Power Attack";"2016 Ukraine Electric Power Attackwas aSandworm Teamcampaign during which they usedIndustroyermalware to target and disrupt distribution substations within the Ukrainian power grid. This campaign was the second major public attack conducted against Ukraine bySandworm Team."
"C0034";"2022 Ukraine Electric Power Attack";"The2022 Ukraine Electric Power Attackwas aSandworm Teamcampaign that used a combination of GOGETTER, Neo-REGEORG,CaddyWiper, and living of the land (LotL) techniques to gain access to a Ukrainian electric utility to send unauthorized commands from their SCADA system."
"C0010";"C0010";"C0010was a cyber espionage campaign conducted by UNC3890 that targeted Israeli shipping, government, aviation, energy, and healthcare organizations. Security researcher assess UNC3890 conducts operations in support of Iranian interests, and noted several limited technical connections to Iran, including PDB strings and Farsi language artifacts.C0010began by at least late 2020, and was still ongoing as of mid-2022."
"C0011";"C0011";"C0011was a suspected cyber espionage campaign conducted byTransparent Tribethat targeted students at universities and colleges in India. Security researchers noted this campaign against students was a significant shift fromTransparent Tribe's historic targeting Indian government, military, and think tank personnel, and assessed it was still ongoing as of July 2022."
"C0015";"C0015";"C0015was a ransomware intrusion during which the unidentified attackers usedBazar,Cobalt Strike, andConti, along with other tools, over a 5 day period. Security researchers assessed the actors likely used the widely-circulatedContiransomware playbook based on the observed pattern of activity and operator errors."
"C0017";"C0017";"C0017was anAPT41campaign conducted between May 2021 and February 2022 that successfully compromised at least six U.S. state government networks through the exploitation of vulnerable Internet facing web applications. DuringC0017,APT41was quick to adapt and use publicly-disclosed as well as zero-day vulnerabilities for initial access, and in at least two cases re-compromised victims following remediation efforts. The goals ofC0017are unknown, howeverAPT41was observed exfiltrating Personal Identifiable Information (PII)."
"C0018";"C0018";"C0018was a month-long ransomware intrusion that successfully deployedAvosLockeronto a compromised network. The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executingAvosLocker."
"C0021";"C0021";"C0021was a spearphishing campaign conducted in November 2018 that targeted public sector institutions, non-governmental organizations (NGOs), educational institutions, and private-sector corporations in the oil and gas, chemical, and hospitality industries. The majority of targets were located in the US, particularly in and around Washington D.C., with other targets located in Europe, Hong Kong, India, and Canada.C0021's technical artifacts, tactics, techniques, and procedures (TTPs), and targeting overlap with previous suspectedAPT29activity."
"C0026";"C0026";"C0026was a campaign identified in September 2022 that included the selective distribution ofKOPILUWAKandQUIETCANARYmalware to previousANDROMEDAmalware victims in Ukraine through re-registeredANDROMEDAC2 domains. Several tools and tactics used duringC0026were consistent with historicTurlaoperations."
"C0027";"C0027";"C0027was a financially-motivated campaign linked toScattered Spiderthat targeted telecommunications and business process outsourcing (BPO) companies from at least June through December of 2022. DuringC0027Scattered Spiderused various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
"C0032";"C0032";"C0032was an extended campaign suspected to involve theTritonadversaries with related capabilities and techniques focused on gaining a foothold within IT environments. This campaign occurred in 2019 and was distinctly different from theTriton Safety Instrumented System Attack."
"C0033";"C0033";"C0033was aPROMETHIUMcampaign during which they usedStrongPityto target Android users.C0033was the first publicly documented mobile campaign forPROMETHIUM, who previously used Windows-based techniques."
"C0004";"CostaRicto";"CostaRictowas a suspected hacker-for-hire cyber espionage campaign that targeted multiple industries worldwide, with a large number being financial institutions.CostaRictoactors targeted organizations in Europe, the Americas, Asia, Australia, and Africa, with a large concentration in South Asia (especially India, Bangladesh, and Singapore), using custom malware, open source tools, and a complex network of proxies and SSH tunnels."
"C0029";"Cutting Edge";"Cutting Edgewas a campaign conducted by suspected China-nexus espionage actors, variously identified as UNC5221/UTA0178 and UNC5325, that began as early as December 2023 with the exploitation of zero-day vulnerabilities in Ivanti Connect Secure (previously Pulse Secure) VPN appliances.Cutting Edgetargeted the U.S. defense industrial base and multiple sectors globally including  telecommunications, financial, aerospace, and technology.Cutting Edgefeatured the use of defense evasion and living-off-the-land (LoTL) techniques along with the deployment of web shells and other custom malware."
"C0001";"Frankenstein";"Frankensteinwas described by security researchers as a highly-targeted campaign conducted by moderately sophisticated and highly resourceful threat actors in early 2019. The unidentified actors primarily relied on open source tools, includingEmpire. The campaign name refers to the actors' ability to piece together several unrelated open-source tool components."
"C0007";"FunnyDream";"FunnyDreamwas a suspected Chinese cyber espionage campaign that targeted government and foreign organizations in Malaysia, the Philippines, Taiwan, Vietnam, and other parts of Southeast Asia. Security researchers linked theFunnyDreamcampaign to possible Chinese-speaking threat actors through the use of theChinoxybackdoor and noted infrastructure overlap with the TAG-16 threat group."
"C0020";"Maroochy Water Breach";"Maroochy Water Breachwas an incident in 2000 where an adversary leveraged the local government’s wastewater control system and stolen engineering equipment to disrupt and eventually release 800,000 liters of raw sewage into the local community."
"C0002";"Night Dragon";"Night Dragonwas a cyber espionage campaign that targeted oil, energy, and petrochemical companies, along with individuals and executives in Kazakhstan, Taiwan, Greece, and the United States. The unidentified threat actors searched for information related to oil and gas field production systems, financials, and collected data from SCADA systems. Based on the observed techniques, tools, and network activities, security researchers assessed the campaign involved a threat group based in China."
"C0012";"Operation CuckooBees";"Operation CuckooBeeswas a cyber espionage campaign targeting technology and manufacturing companies in East Asia, Western Europe, and North America since at least 2019. Security researchers noted the goal ofOperation CuckooBees, which was still ongoing as of May 2022, was likely the theft of proprietary information, research and development documents, source code, and blueprints for various technologies. Researchers assessedOperation CuckooBeeswas conducted by actors affiliated withWinnti Group,APT41, and BARIUM."
"C0022";"Operation Dream Job";"Operation Dream Jobwas a cyber espionage operation likely conducted byLazarus Groupthat targeted the defense, aerospace, government, and other sectors in the United States, Israel, Australia, Russia, and India. In at least one case, the cyber actors tried to monetize their network access to conduct a business email compromise (BEC) operation. In 2020, security researchers noted overlapping TTPs, to include fake job lures and code similarities, betweenOperation Dream Job, Operation North Star, and Operation Interception; by 2022 security researchers describedOperation Dream Jobas an umbrella term covering both Operation Interception and Operation North Star."
"C0016";"Operation Dust Storm";"Operation Dust Stormwas a long-standing persistent cyber espionage campaign that targeted multiple industries in Japan, South Korea, the United States, Europe, and several Southeast Asian countries. By 2015, theOperation Dust Stormthreat actors shifted from government and defense-related intelligence targets to Japanese companies or Japanese subdivisions of larger foreign organizations supporting Japan's critical infrastructure, including electricity generation, oil and natural gas, finance, transportation, and construction.Operation Dust Stormthreat actors also began to use Android backdoors in their operations by 2015, with all identified victims at the time residing in Japan or South Korea."
"C0023";"Operation Ghost";"Operation Ghostwas anAPT29campaign starting in 2013 that included operations against ministries of foreign affairs in Europe and the Washington, D.C. embassy of a European Union country. DuringOperation Ghost,APT29used new families of malware and leveraged web services, steganography, and unique C2 infrastructure for each victim."
"C0006";"Operation Honeybee";"Operation Honeybeewas a campaign that targeted humanitarian aid and inter-Korean affairs organizations from at least late 2017 through early 2018.Operation Honeybeeinitially targeted South Korea, but expanded to include Vietnam, Singapore, Japan, Indonesia, Argentina, and Canada. Security researchers assessed the threat actors were likely Korean speakers based on metadata used in both lure documents and executables, and named the campaign ""Honeybee"" after the author name discovered in malicious Word documents."
"C0013";"Operation Sharpshooter";"Operation Sharpshooterwas a global cyber espionage campaign that targeted nuclear, defense, government, energy, and financial companies, with many located in Germany, Turkey, the United Kingdom, and the United States. Security researchers noted the campaign shared many similarities with previousLazarus Groupoperations, including fake job recruitment lures and shared malware code."
"C0005";"Operation Spalax";"Operation Spalaxwas a campaign that primarily targeted Colombian government organizations and private companies, particularly those associated with the energy and metallurgical industries. TheOperation Spalaxthreat actors distributed commodity malware and tools using generic phishing topics related to COVID-19, banking, and law enforcement action. Security researchers noted indicators of compromise and some infrastructure overlaps with other campaigns dating back to April 2018, including at least one separately attributed toAPT-C-36, however identified enough differences to report this as separate, unattributed activity."
"C0014";"Operation Wocao";"Operation Wocaowas a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States. The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies.Security researchers assessed theOperation Wocaoactors used similar TTPs and tools as APT20, suggesting a possible overlap.Operation Wocaowas named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
"C0024";"SolarWinds Compromise";"TheSolarWinds Compromisewas a sophisticated supply chain cyber operation conducted byAPT29that was discovered in mid-December 2020.APT29used customized malware to inject malicious code into the SolarWinds Orion software build process that was later distributed through a normal software update; they also used password spraying, token theft, API abuse, spear phishing, and other supply chain attacks to compromise user accounts and leverage their associated access. Victims of this campaign included government, consulting, technology, telecom, and other organizations in North America, Europe, Asia, and the Middle East. Industry reporting initially referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and SolarStorm.In April 2021, the US and UK governments attributed theSolarWinds Compromiseto Russia's Foreign Intelligence Service (SVR); public statements included citations toAPT29, Cozy Bear, and The Dukes. The US government assessed that of the approximately 18,000 affected public and private sector customers of Solar Winds’ Orion product, a much smaller number were compromised by follow-onAPT29activity on their systems."
"C0030";"Triton Safety Instrumented System Attack";"Triton Safety Instrumented System Attackwas a campaign employed byTEMP.Veleswhich leveraged theTritonmalware framework against a petrochemical organization. The malware and techniques used within this campaign targeted specific TriconexSafety Controllers within the environment. The incident was eventually discovered due to a safety trip that occurred as a result of an issue in the malware."
"C0031";"Unitronics Defacement Campaign";"TheUnitronics Defacement Campaignwas a collection of intrusions across multiple sectors by theCyberAv3ngers, where threat actors engaged in a seemingly opportunistic and global targeting and defacement of Unitronics Vision SeriesProgrammable Logic Controller (PLC)withHuman-Machine Interface (HMI). The sectors that these PLCs can be commonly found in are water and wastewater, energy, food and beverage manufacturing, and healthcare. The most notable feature of this attack was the defacement of the PLCs' HMIs."
